context_id,raw_context,disease,biomarkers,drugs,therapy_type,therapy_strategy,indication,approval_url
38,"if a patient with metastatic non-squamous non-small cell lung cancer has wild type alk, wild type egfr, one recommended therapy is carboplatin + atezolizumab + paclitaxel. therapy type: chemotherapy + immunotherapy + chemotherapy. therapy strategy: platinum-based chemotherapy + pd-1/pd-l1 inhibition + taxane-based chemotherapy. indication: tecentriq is a programmed death-ligand 1 (pd-l1) blocking antibody indicated in combination with paclitaxel protein-bound and carboplatin for the first-line treatment of adult patients with metastatic non-squamous nsclc with no egfr or alk genomic tumor aberrations. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761034s053lbl.pdf",metastatic non-squamous non-small cell lung cancer,"['wild type alk', 'wild type egfr']","['carboplatin', 'atezolizumab', 'paclitaxel']","['chemotherapy', 'immunotherapy', 'chemotherapy']","['platinum-based chemotherapy', 'pd-1/pd-l1 inhibition', 'taxane-based chemotherapy']",tecentriq is a programmed death-ligand 1 (pd-l1) blocking antibody indicated in combination with paclitaxel protein-bound and carboplatin for the first-line treatment of adult patients with metastatic non-squamous nsclc with no egfr or alk genomic tumor aberrations,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761034s053lbl.pdf
39,"if a patient with metastatic non-small cell lung cancer has egfr somatic variants, one recommended therapy is atezolizumab. therapy type: immunotherapy. therapy strategy: pd-1/pd-l1 inhibition. indication: tecentriq is a programmed death-ligand 1 (pd-l1) blocking antibody indicated for the treatment of adult patients with metastatic nsclc who have disease progression during or following platinum-containing chemotherapy. patients with egfr or alk genomic tumor aberrations should have disease progression on fda-approved therapy for nsclc harboring these aberrations prior to receiving tecentriq. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761034s053lbl.pdf",metastatic non-small cell lung cancer,['egfr somatic variants'],['atezolizumab'],['immunotherapy'],['pd-1/pd-l1 inhibition'],tecentriq is a programmed death-ligand 1 (pd-l1) blocking antibody indicated for the treatment of adult patients with metastatic nsclc who have disease progression during or following platinum-containing chemotherapy. patients with egfr or alk genomic tumor aberrations should have disease progression on fda-approved therapy for nsclc harboring these aberrations prior to receiving tecentriq,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761034s053lbl.pdf
40,"if a patient with metastatic non-small cell lung cancer has v::alk, one recommended therapy is atezolizumab. therapy type: immunotherapy. therapy strategy: pd-1/pd-l1 inhibition. indication: tecentriq is a programmed death-ligand 1 (pd-l1) blocking antibody indicated for the treatment of adult patients with metastatic nsclc who have disease progression during or following platinum-containing chemotherapy. patients with egfr or alk genomic tumor aberrations should have disease progression on fda-approved therapy for nsclc harboring these aberrations prior to receiving tecentriq. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761034s053lbl.pdf",metastatic non-small cell lung cancer,['v::alk'],['atezolizumab'],['immunotherapy'],['pd-1/pd-l1 inhibition'],tecentriq is a programmed death-ligand 1 (pd-l1) blocking antibody indicated for the treatment of adult patients with metastatic nsclc who have disease progression during or following platinum-containing chemotherapy. patients with egfr or alk genomic tumor aberrations should have disease progression on fda-approved therapy for nsclc harboring these aberrations prior to receiving tecentriq,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761034s053lbl.pdf
41,"if a patient with unresectable or metastatic melanoma has braf p.v600e, one recommended therapy is cobimetinib + vemurafenib + atezolizumab. therapy type: targeted therapy + targeted therapy + immunotherapy. therapy strategy: mek inhibition + b-raf inhibition + pd-1/pd-l1 inhibition. indication: tecentriq is a programmed death-ligand 1 (pd-l1) blocking antibody indicated in combination with cobimetinib and vemurafenib for the treatment of adult patients with braf v600 mutation-positive unresectable or metastatic melanoma. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761034s053lbl.pdf",unresectable or metastatic melanoma,['braf p.v600e'],"['cobimetinib', 'vemurafenib', 'atezolizumab']","['targeted therapy', 'targeted therapy', 'immunotherapy']","['mek inhibition', 'b-raf inhibition', 'pd-1/pd-l1 inhibition']",tecentriq is a programmed death-ligand 1 (pd-l1) blocking antibody indicated in combination with cobimetinib and vemurafenib for the treatment of adult patients with braf v600 mutation-positive unresectable or metastatic melanoma,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761034s053lbl.pdf
42,"if a patient with unresectable or metastatic melanoma has braf p.v600k, one recommended therapy is cobimetinib + vemurafenib + atezolizumab. therapy type: targeted therapy + targeted therapy + immunotherapy. therapy strategy: mek inhibition + b-raf inhibition + pd-1/pd-l1 inhibition. indication: tecentriq is a programmed death-ligand 1 (pd-l1) blocking antibody indicated in combination with cobimetinib and vemurafenib for the treatment of adult patients with braf v600 mutation-positive unresectable or metastatic melanoma. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761034s053lbl.pdf",unresectable or metastatic melanoma,['braf p.v600k'],"['cobimetinib', 'vemurafenib', 'atezolizumab']","['targeted therapy', 'targeted therapy', 'immunotherapy']","['mek inhibition', 'b-raf inhibition', 'pd-1/pd-l1 inhibition']",tecentriq is a programmed death-ligand 1 (pd-l1) blocking antibody indicated in combination with cobimetinib and vemurafenib for the treatment of adult patients with braf v600 mutation-positive unresectable or metastatic melanoma,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761034s053lbl.pdf
43,"if a patient with unresectable or metastatic gastrointestinal stromal tumor has pdgfra p.d842v, one recommended therapy is avapritinib. therapy type: targeted therapy. therapy strategy: kit inhibition. indication: ayvakit is a kinase inhibitor indicated for the treatment of adults with unresectable or metastatic gist harboring a platelet-derived growth factor receptor alpha (pdgfra) exon 18 mutation, including pdgfra d842v mutations. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/212608s013lbl.pdf",unresectable or metastatic gastrointestinal stromal tumor,['pdgfra p.d842v'],['avapritinib'],['targeted therapy'],['kit inhibition'],"ayvakit is a kinase inhibitor indicated for the treatment of adults with unresectable or metastatic gist harboring a platelet-derived growth factor receptor alpha (pdgfra) exon 18 mutation, including pdgfra d842v mutations",https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/212608s013lbl.pdf
44,"if a patient with unresectable or metastatic melanoma has braf p.v600e, one recommended therapy is binimetinib + encorafenib. therapy type: targeted therapy + targeted therapy. therapy strategy: mek inhibition + b-raf inhibition. indication: mektovi is a kinase inhibitor indicated in combination with encorafenib, for the treatment of patients with unresectable or metastatic melanoma with a braf v600e or v600k mutation, as detected by an fda-approved test. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/210498s009lbl.pdf",unresectable or metastatic melanoma,['braf p.v600e'],"['binimetinib', 'encorafenib']","['targeted therapy', 'targeted therapy']","['mek inhibition', 'b-raf inhibition']","mektovi is a kinase inhibitor indicated in combination with encorafenib, for the treatment of patients with unresectable or metastatic melanoma with a braf v600e or v600k mutation, as detected by an fda-approved test",https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/210498s009lbl.pdf
45,"if a patient with unresectable or metastatic melanoma has braf p.v600k, one recommended therapy is binimetinib + encorafenib. therapy type: targeted therapy + targeted therapy. therapy strategy: mek inhibition + b-raf inhibition. indication: mektovi is a kinase inhibitor indicated in combination with encorafenib, for the treatment of patients with unresectable or metastatic melanoma with a braf v600e or v600k mutation, as detected by an fda-approved test. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/210498s009lbl.pdf",unresectable or metastatic melanoma,['braf p.v600k'],"['binimetinib', 'encorafenib']","['targeted therapy', 'targeted therapy']","['mek inhibition', 'b-raf inhibition']","mektovi is a kinase inhibitor indicated in combination with encorafenib, for the treatment of patients with unresectable or metastatic melanoma with a braf v600e or v600k mutation, as detected by an fda-approved test",https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/210498s009lbl.pdf
46,"if a patient with metastatic non-small cell lung cancer has braf p.v600e, one recommended therapy is binimetinib + encorafenib. therapy type: targeted therapy + targeted therapy. therapy strategy: mek inhibition + b-raf inhibition. indication: mektovi is a kinase inhibitor indicated in combination with encorafenib, for the treatment of adult patients with metastatic non-small cell lung cancer (nsclc) with a braf v600e mutation, as detected by an fda-approved test. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/210498s009lbl.pdf",metastatic non-small cell lung cancer,['braf p.v600e'],"['binimetinib', 'encorafenib']","['targeted therapy', 'targeted therapy']","['mek inhibition', 'b-raf inhibition']","mektovi is a kinase inhibitor indicated in combination with encorafenib, for the treatment of adult patients with metastatic non-small cell lung cancer (nsclc) with a braf v600e mutation, as detected by an fda-approved test",https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/210498s009lbl.pdf
47,"if a patient with early invasive breast carcinoma has her2-negative, er positive, pr positive, one recommended therapy is abemaciclib + letrozole. therapy type: targeted therapy + hormone therapy. therapy strategy: cdk4/6 inhibition + aromatase inhibition. indication: verzenio is a kinase inhibitor indicated in combination with endocrine therapy (tamoxifen or an aromatase inhibitor) for the adjuvant treatment of adult patients with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative, node positive, early breast cancer at high risk of recurrence. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208716s010s011lbl.pdf",early invasive breast carcinoma,"['her2-negative', 'er positive', 'pr positive']","['abemaciclib', 'letrozole']","['targeted therapy', 'hormone therapy']","['cdk4/6 inhibition', 'aromatase inhibition']","verzenio is a kinase inhibitor indicated in combination with endocrine therapy (tamoxifen or an aromatase inhibitor) for the adjuvant treatment of adult patients with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative, node positive, early breast cancer at high risk of recurrence",https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208716s010s011lbl.pdf
48,"if a patient with b-cell precursor acute lymphoid leukemia has cd19 +, one recommended therapy is blinatumomab. therapy type: immunotherapy. therapy strategy: cd19 inhibition. indication: blincyto is a bispecific cd19-directed cd3 t-cell engager indicated for the treatment of adult and pediatric patients one month and older with cd19-positive b-cell precursor acute lymphoblastic leukemia (all) in first or second complete remission with minimal residual disease (mrd) greater than or equal to 0.1%. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/125557Orig1s028Correctedlbl.pdf",b-cell precursor acute lymphoid leukemia,['cd19 +'],['blinatumomab'],['immunotherapy'],['cd19 inhibition'],blincyto is a bispecific cd19-directed cd3 t-cell engager indicated for the treatment of adult and pediatric patients one month and older with cd19-positive b-cell precursor acute lymphoblastic leukemia (all) in first or second complete remission with minimal residual disease (mrd) greater than or equal to 0.1%,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/125557Orig1s028Correctedlbl.pdf
49,"if a patient with b-cell precursor acute lymphoid leukemia has cd19 +, one recommended therapy is blinatumomab. therapy type: immunotherapy. therapy strategy: cd19 inhibition. indication: blincyto is a bispecific cd19-directed cd3 t-cell engager indicated for the treatment of adult and pediatric patients one month and older with relapsed or refractory cd19-positive b-cell precursor acute lymphoblastic leukemia (all). approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/125557Orig1s028Correctedlbl.pdf",b-cell precursor acute lymphoid leukemia,['cd19 +'],['blinatumomab'],['immunotherapy'],['cd19 inhibition'],blincyto is a bispecific cd19-directed cd3 t-cell engager indicated for the treatment of adult and pediatric patients one month and older with relapsed or refractory cd19-positive b-cell precursor acute lymphoblastic leukemia (all),https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/125557Orig1s028Correctedlbl.pdf
50,"if a patient with b-cell acute lymphoid leukemia has bcr::abl1, cd19 +, one recommended therapy is blinatumomab. therapy type: immunotherapy. therapy strategy: cd19 inhibition. indication: blincyto is a bispecific cd19-directed cd3 t-cell engager indicated for the treatment of adult and pediatric patients one month and older with cd19-positive philadelphia chromosome-negative b-cell precursor acute lymphoblastic leukemia (all) in the consolidation phase of multiphase chemotherapy. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/125557Orig1s028Correctedlbl.pdf",b-cell acute lymphoid leukemia,"['bcr::abl1', 'cd19 +']",['blinatumomab'],['immunotherapy'],['cd19 inhibition'],blincyto is a bispecific cd19-directed cd3 t-cell engager indicated for the treatment of adult and pediatric patients one month and older with cd19-positive philadelphia chromosome-negative b-cell precursor acute lymphoblastic leukemia (all) in the consolidation phase of multiphase chemotherapy,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/125557Orig1s028Correctedlbl.pdf
51,"if a patient with philadelphia chromosome-positive chronic myelogenous leukemia has bcr::abl1, one recommended therapy is bosutinib. therapy type: targeted therapy. therapy strategy: bcr-abl inhibition. indication: bosulif is a kinase inhibitor indicated for the treatment of adult and pediatric patients 1 year of age and older with chronic phase ph+ chronic myelogenous leukemia (cml), newly-diagnosed or resistant or intolerant to prior therapy. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/203341s025lbl.pdf",philadelphia chromosome-positive chronic myelogenous leukemia,['bcr::abl1'],['bosutinib'],['targeted therapy'],['bcr-abl inhibition'],"bosulif is a kinase inhibitor indicated for the treatment of adult and pediatric patients 1 year of age and older with chronic phase ph+ chronic myelogenous leukemia (cml), newly-diagnosed or resistant or intolerant to prior therapy",https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/203341s025lbl.pdf
52,"if a patient with philadelphia chromosome-positive chronic myelogenous leukemia has bcr::abl1, one recommended therapy is bosutinib. therapy type: targeted therapy. therapy strategy: bcr-abl inhibition. indication: bosulif is a kinase inhibitor indicated for the treatment of adult patients with accelerated, or blast phase ph+ cml with resistance or intolerance to prior therapy. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/203341s025lbl.pdf",philadelphia chromosome-positive chronic myelogenous leukemia,['bcr::abl1'],['bosutinib'],['targeted therapy'],['bcr-abl inhibition'],"bosulif is a kinase inhibitor indicated for the treatment of adult patients with accelerated, or blast phase ph+ cml with resistance or intolerance to prior therapy",https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/203341s025lbl.pdf
53,"if a patient with systemic anaplastic large cell lymphoma has cd30 +, one recommended therapy is prednisone + brentuximab vedotin + cyclophosphamide + doxorubicin. therapy type: chemotherapy + targeted therapy + chemotherapy + chemotherapy. therapy strategy: corticosteroid + target cd30 antigens + alkylating chemotherapy + topoisomerase inhibition. indication: adcetris is a cd30-directed antibody and microtubule inhibitor conjugate indicated for treatment of adult patients with previously untreated systemic anaplastic large cell lymphoma (salcl) or other cd30-expressing peripheral t-cell lymphomas (ptcl), including angioimmunoblastic t-cell lymphoma and ptcl not otherwise specified, in combination with cyclophosphamide, doxorubicin, and prednisone. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/125388s107lbl.pdf",systemic anaplastic large cell lymphoma,['cd30 +'],"['prednisone', 'brentuximab vedotin', 'cyclophosphamide', 'doxorubicin']","['chemotherapy', 'targeted therapy', 'chemotherapy', 'chemotherapy']","['corticosteroid', 'target cd30 antigens', 'alkylating chemotherapy', 'topoisomerase inhibition']","adcetris is a cd30-directed antibody and microtubule inhibitor conjugate indicated for treatment of adult patients with previously untreated systemic anaplastic large cell lymphoma (salcl) or other cd30-expressing peripheral t-cell lymphomas (ptcl), including angioimmunoblastic t-cell lymphoma and ptcl not otherwise specified, in combination with cyclophosphamide, doxorubicin, and prednisone",https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/125388s107lbl.pdf
54,"if a patient with cutaneous anaplastic large cell lymphoma has cd30 +, one recommended therapy is brentuximab vedotin. therapy type: targeted therapy. therapy strategy: target cd30 antigens. indication: adcetris is a cd30-directed antibody and microtubule inhibitor conjugate indicated for treatment of adult patients with primary cutaneous anaplastic large cell lymphoma (pcalcl) or cd30-expressing mycosis fungoides (mf) who have received prior systemic therapy. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/125388s107lbl.pdf",cutaneous anaplastic large cell lymphoma,['cd30 +'],['brentuximab vedotin'],['targeted therapy'],['target cd30 antigens'],adcetris is a cd30-directed antibody and microtubule inhibitor conjugate indicated for treatment of adult patients with primary cutaneous anaplastic large cell lymphoma (pcalcl) or cd30-expressing mycosis fungoides (mf) who have received prior systemic therapy,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/125388s107lbl.pdf
55,"if a patient with metastatic non-small cell lung cancer has v::alk, one recommended therapy is brigatinib. therapy type: targeted therapy. therapy strategy: alk inhibition. indication: alunbrig is a kinase inhibitor indicated for the treatment of adult patients with anaplastic lymphoma kinase (alk)-positive metastatic non-small cell lung cancer (nsclc) as detected by an fda-approved test. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/208772s013lbl.pdf",metastatic non-small cell lung cancer,['v::alk'],['brigatinib'],['targeted therapy'],['alk inhibition'],alunbrig is a kinase inhibitor indicated for the treatment of adult patients with anaplastic lymphoma kinase (alk)-positive metastatic non-small cell lung cancer (nsclc) as detected by an fda-approved test,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/208772s013lbl.pdf
56,"if a patient with metastatic adenocarcinoma of the gastroesophageal junction has her2-positive, one recommended therapy is capecitabine. therapy type: chemotherapy. therapy strategy: thymidylate synthase inhibition. indication: xeloda (capecitabine) is a nucleoside metabolic inhibitor indicated for treatment of adults with her2-overexpressing metastatic gastric or gastroesophageal junction adenocarcinoma who have not received prior treatment for metastatic disease as a component of a combination regimen. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/020896s044s045s046s047s048s049s050s051lbl.pdf",metastatic adenocarcinoma of the gastroesophageal junction,['her2-positive'],['capecitabine'],['chemotherapy'],['thymidylate synthase inhibition'],xeloda (capecitabine) is a nucleoside metabolic inhibitor indicated for treatment of adults with her2-overexpressing metastatic gastric or gastroesophageal junction adenocarcinoma who have not received prior treatment for metastatic disease as a component of a combination regimen,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/020896s044s045s046s047s048s049s050s051lbl.pdf
57,"if a patient with locally advanced or metastatic invasive breast carcinoma has her2-negative, pik3ca somatic variants, er positive, one recommended therapy is capivasertib + fulvestrant. therapy type: targeted therapy + hormone therapy. therapy strategy: pi3k/akt/mtor inhibition + estrogen receptor inhibition. indication: truqap is a kinase inhibitor indicated, in combination with fulvestrant for the treatment of adult patients with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative, locally advanced or metastatic breast cancer with one or more pik3ca/akt1/pten-alterations as detected by an fda-approved test following progression on at least one endocrine-based regimen in the metastatic setting or recurrence on or within 12 months of completing adjuvant therapy. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/218197s000lbl.pdf",locally advanced or metastatic invasive breast carcinoma,"['her2-negative', 'pik3ca somatic variants', 'er positive']","['capivasertib', 'fulvestrant']","['targeted therapy', 'hormone therapy']","['pi3k/akt/mtor inhibition', 'estrogen receptor inhibition']","truqap is a kinase inhibitor indicated, in combination with fulvestrant for the treatment of adult patients with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative, locally advanced or metastatic breast cancer with one or more pik3ca/akt1/pten-alterations as detected by an fda-approved test following progression on at least one endocrine-based regimen in the metastatic setting or recurrence on or within 12 months of completing adjuvant therapy",https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/218197s000lbl.pdf
58,"if a patient with locally advanced or metastatic invasive breast carcinoma has her2-negative, pik3ca somatic variants, pr positive, one recommended therapy is capivasertib + fulvestrant. therapy type: targeted therapy + hormone therapy. therapy strategy: pi3k/akt/mtor inhibition + estrogen receptor inhibition. indication: truqap is a kinase inhibitor indicated, in combination with fulvestrant for the treatment of adult patients with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative, locally advanced or metastatic breast cancer with one or more pik3ca/akt1/pten-alterations as detected by an fda-approved test following progression on at least one endocrine-based regimen in the metastatic setting or recurrence on or within 12 months of completing adjuvant therapy. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/218197s000lbl.pdf",locally advanced or metastatic invasive breast carcinoma,"['her2-negative', 'pik3ca somatic variants', 'pr positive']","['capivasertib', 'fulvestrant']","['targeted therapy', 'hormone therapy']","['pi3k/akt/mtor inhibition', 'estrogen receptor inhibition']","truqap is a kinase inhibitor indicated, in combination with fulvestrant for the treatment of adult patients with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative, locally advanced or metastatic breast cancer with one or more pik3ca/akt1/pten-alterations as detected by an fda-approved test following progression on at least one endocrine-based regimen in the metastatic setting or recurrence on or within 12 months of completing adjuvant therapy",https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/218197s000lbl.pdf
59,"if a patient with locally advanced or metastatic invasive breast carcinoma has her2-negative, pik3ca somatic variants, er positive, pr positive, one recommended therapy is capivasertib + fulvestrant. therapy type: targeted therapy + hormone therapy. therapy strategy: pi3k/akt/mtor inhibition + estrogen receptor inhibition. indication: truqap is a kinase inhibitor indicated, in combination with fulvestrant for the treatment of adult patients with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative, locally advanced or metastatic breast cancer with one or more pik3ca/akt1/pten-alterations as detected by an fda-approved test following progression on at least one endocrine-based regimen in the metastatic setting or recurrence on or within 12 months of completing adjuvant therapy. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/218197s000lbl.pdf",locally advanced or metastatic invasive breast carcinoma,"['her2-negative', 'pik3ca somatic variants', 'er positive', 'pr positive']","['capivasertib', 'fulvestrant']","['targeted therapy', 'hormone therapy']","['pi3k/akt/mtor inhibition', 'estrogen receptor inhibition']","truqap is a kinase inhibitor indicated, in combination with fulvestrant for the treatment of adult patients with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative, locally advanced or metastatic breast cancer with one or more pik3ca/akt1/pten-alterations as detected by an fda-approved test following progression on at least one endocrine-based regimen in the metastatic setting or recurrence on or within 12 months of completing adjuvant therapy",https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/218197s000lbl.pdf
60,"if a patient with locally advanced or metastatic invasive breast carcinoma has her2-negative, akt1 somatic variants, er positive, one recommended therapy is capivasertib + fulvestrant. therapy type: targeted therapy + hormone therapy. therapy strategy: pi3k/akt/mtor inhibition + estrogen receptor inhibition. indication: truqap is a kinase inhibitor indicated, in combination with fulvestrant for the treatment of adult patients with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative, locally advanced or metastatic breast cancer with one or more pik3ca/akt1/pten-alterations as detected by an fda-approved test following progression on at least one endocrine-based regimen in the metastatic setting or recurrence on or within 12 months of completing adjuvant therapy. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/218197s000lbl.pdf",locally advanced or metastatic invasive breast carcinoma,"['her2-negative', 'akt1 somatic variants', 'er positive']","['capivasertib', 'fulvestrant']","['targeted therapy', 'hormone therapy']","['pi3k/akt/mtor inhibition', 'estrogen receptor inhibition']","truqap is a kinase inhibitor indicated, in combination with fulvestrant for the treatment of adult patients with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative, locally advanced or metastatic breast cancer with one or more pik3ca/akt1/pten-alterations as detected by an fda-approved test following progression on at least one endocrine-based regimen in the metastatic setting or recurrence on or within 12 months of completing adjuvant therapy",https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/218197s000lbl.pdf
61,"if a patient with locally advanced or metastatic invasive breast carcinoma has her2-negative, akt1 somatic variants, pr positive, one recommended therapy is capivasertib + fulvestrant. therapy type: targeted therapy + hormone therapy. therapy strategy: pi3k/akt/mtor inhibition + estrogen receptor inhibition. indication: truqap is a kinase inhibitor indicated, in combination with fulvestrant for the treatment of adult patients with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative, locally advanced or metastatic breast cancer with one or more pik3ca/akt1/pten-alterations as detected by an fda-approved test following progression on at least one endocrine-based regimen in the metastatic setting or recurrence on or within 12 months of completing adjuvant therapy. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/218197s000lbl.pdf",locally advanced or metastatic invasive breast carcinoma,"['her2-negative', 'akt1 somatic variants', 'pr positive']","['capivasertib', 'fulvestrant']","['targeted therapy', 'hormone therapy']","['pi3k/akt/mtor inhibition', 'estrogen receptor inhibition']","truqap is a kinase inhibitor indicated, in combination with fulvestrant for the treatment of adult patients with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative, locally advanced or metastatic breast cancer with one or more pik3ca/akt1/pten-alterations as detected by an fda-approved test following progression on at least one endocrine-based regimen in the metastatic setting or recurrence on or within 12 months of completing adjuvant therapy",https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/218197s000lbl.pdf
62,"if a patient with locally advanced or metastatic invasive breast carcinoma has her2-negative, akt1 somatic variants, er positive, pr positive, one recommended therapy is capivasertib + fulvestrant. therapy type: targeted therapy + hormone therapy. therapy strategy: pi3k/akt/mtor inhibition + estrogen receptor inhibition. indication: truqap is a kinase inhibitor indicated, in combination with fulvestrant for the treatment of adult patients with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative, locally advanced or metastatic breast cancer with one or more pik3ca/akt1/pten-alterations as detected by an fda-approved test following progression on at least one endocrine-based regimen in the metastatic setting or recurrence on or within 12 months of completing adjuvant therapy. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/218197s000lbl.pdf",locally advanced or metastatic invasive breast carcinoma,"['her2-negative', 'akt1 somatic variants', 'er positive', 'pr positive']","['capivasertib', 'fulvestrant']","['targeted therapy', 'hormone therapy']","['pi3k/akt/mtor inhibition', 'estrogen receptor inhibition']","truqap is a kinase inhibitor indicated, in combination with fulvestrant for the treatment of adult patients with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative, locally advanced or metastatic breast cancer with one or more pik3ca/akt1/pten-alterations as detected by an fda-approved test following progression on at least one endocrine-based regimen in the metastatic setting or recurrence on or within 12 months of completing adjuvant therapy",https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/218197s000lbl.pdf
63,"if a patient with locally advanced or metastatic invasive breast carcinoma has her2-negative, akt1 amplification, er positive, one recommended therapy is capivasertib + fulvestrant. therapy type: targeted therapy + hormone therapy. therapy strategy: pi3k/akt/mtor inhibition + estrogen receptor inhibition. indication: truqap is a kinase inhibitor indicated, in combination with fulvestrant for the treatment of adult patients with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative, locally advanced or metastatic breast cancer with one or more pik3ca/akt1/pten-alterations as detected by an fda-approved test following progression on at least one endocrine-based regimen in the metastatic setting or recurrence on or within 12 months of completing adjuvant therapy. approval url: https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/218197s000lbl.pdf",locally advanced or metastatic invasive breast carcinoma,"['her2-negative', 'akt1 amplification', 'er positive']","['capivasertib', 'fulvestrant']","['targeted therapy', 'hormone therapy']","['pi3k/akt/mtor inhibition', 'estrogen receptor inhibition']","truqap is a kinase inhibitor indicated, in combination with fulvestrant for the treatment of adult patients with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative, locally advanced or metastatic breast cancer with one or more pik3ca/akt1/pten-alterations as detected by an fda-approved test following progression on at least one endocrine-based regimen in the metastatic setting or recurrence on or within 12 months of completing adjuvant therapy",https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/218197s000lbl.pdf
